BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
GCF_004010155.1_Solirhodobacter_olei_Pet-1-NZ_RRYH01000032.region001	NZ_RRYH01000032	Solirhodobacter olei strain Pet-1	RiPP-like	RiPPs	Solirhodobacter olei Pet-1..	
GCF_006716865.1_Roseinatronobacter_monicus_DSM_18423-NZ_VFPT01000006.region001	NZ_VFPT01000006	Roseinatronobacter monicus strain DSM 18423	RiPP-like	RiPPs	Roseinatronobacter monicus DSM 18423..	
GCF_009908165.1_Frigidibacter_albus_SP32-c00039_NZ_JAAA...region001	c00039_NZ_JAAA..	Frigidibacter albus strain SP32	RiPP-like	RiPPs	Frigidibacter albus SP32..	
GCF_016653255.1_Rhodobaculum_claviforme_LMG_28126-NZ_NHSD01000287.region001	NZ_NHSD01000287	Rhodobaculum claviforme strain LMG28126	RiPP-like	RiPPs	Rhodobaculum claviforme LMG28126..	
GCF_023336755.1_Roseibaca_sp.V10_V10-c00008_NZ_JALZ...region001	c00008_NZ_JALZ..	Roseibaca sp.v10 strain V10	RiPP-like	RiPPs	Roseibaca sp.v10 V10..	
GCF_023336755.1_Roseibaca_sp.V10_V10-c00009_NZ_JALZ...region001	c00009_NZ_JALZ..	Roseibaca sp.v10 strain V10	RRE-containing	RiPPs	Roseibaca sp.v10 V10..	
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000006.region001	NZ_FNEA01000006	Paracoccus denitrificans strain DSM 413	RiPP-like	RiPPs	Paracoccus denitrificans DSM 413..	
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000012.region001	NZ_FNEA01000012	Paracoccus denitrificans strain DSM 413	LAP.RiPP-like.thiopeptide	RiPPs	Paracoccus denitrificans DSM 413..	
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000030.region001	NZ_FNEA01000030	Paracoccus denitrificans strain DSM 413	ranthipeptide	RiPPs	Paracoccus denitrificans DSM 413..	
GCF_900110025.1_Gemmobacter_aquatilis_DSM_3857-NZ_FOCE01000001.region001	NZ_FOCE01000001	Gemmobacter aquatilis strain DSM 3857	RiPP-like	RiPPs	Gemmobacter aquatilis DSM 3857..	
GCF_900499075.1_Roseibaca_ekhonensis_CECT_7235-NZ_UIHC01000019.region001	NZ_UIHC01000019	Roseibaca ekhonensis strain CECT7235	RRE-containing	RiPPs	Roseibaca ekhonensis CECT7235..	
GCF_900499075.1_Roseibaca_ekhonensis_CECT_7235-NZ_UIHC01000070.region001	NZ_UIHC01000070	Roseibaca ekhonensis strain CECT7235	RiPP-like	RiPPs	Roseibaca ekhonensis CECT7235..	
