BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000002.1.region001	NZ_PZKG01000002.1	Cereibacter changlensis strain JA139JA139	terpene	Terpene	Cereibacter changlensis JA139JA139..	
GCF_003034985.1_Cereibacter_changlensis_JA139_JA139-NZ_PZKG01000079.1.region001	NZ_PZKG01000079.1	Cereibacter changlensis strain JA139JA139	terpene	Terpene	Cereibacter changlensis JA139JA139..	
GCF_003034995.1_Phaeovulum_veldkampii_DSM_11550-NZ_PZKF01000001.1.region001	NZ_PZKF01000001.1	Phaeovulum veldkampii strain DSM 11550	terpene	Terpene	Phaeovulum veldkampii DSM 11550..	
GCF_003034995.1_Phaeovulum_veldkampii_DSM_11550-NZ_PZKF01000014.1.region001	NZ_PZKF01000014.1	Phaeovulum veldkampii strain DSM 11550	terpene	Terpene	Phaeovulum veldkampii DSM 11550..	
GCF_003076755.1_Pararhodobacter_oceanensis_AM505-NZ_QDKM01000001.1.region001	NZ_QDKM01000001.1	Pararhodobacter oceanensis strain AM505	terpene	Terpene	Pararhodobacter oceanensis AM505..	
GCF_003254295.1_Rhodobacter_capsulatus_DSM_1710-NZ_QKZO01000004.1.region001	NZ_QKZO01000004.1	Rhodobacter capsulatus strain DSM 1710	terpene	Terpene	Rhodobacter capsulatus DSM 1710..	
GCF_004015795.1_Falsirhodobacter_deserti_W402-NZ_ML137218.1.region002	NZ_ML137218.1	Falsirhodobacter deserti strain W402	terpene	Terpene	Falsirhodobacter deserti W402..	
GCF_004015795.1_Falsirhodobacter_deserti_W402-NZ_ML137218.1.region003	NZ_ML137218.1	Falsirhodobacter deserti strain W402	terpene	Terpene	Falsirhodobacter deserti W402..	
GCF_004366635.1_Rhodobaca_bogoriensis_DSM_18756-NZ_SORN01000003.1.region001	NZ_SORN01000003.1	Rhodobaca bogoriensis strain DSM 18756	terpene	Terpene	Rhodobaca bogoriensis DSM 18756..	
GCF_006716865.1_Roseinatronobacter_monicus_DSM_18423-NZ_VFPT01000001.1.region001	NZ_VFPT01000001.1	Roseinatronobacter monicus strain DSM 18423	terpene	Terpene	Roseinatronobacter monicus DSM 18423..	
GCF_009908165.1_Frigidibacter_albus_SP32-NZ_JAAAUC010000002.1.region001	NZ_JAAAUC010000002.1	Frigidibacter albus strain SP32	terpene	Terpene	Frigidibacter albus SP32..	
GCF_013415485.1_Rhabdonatronobacter_sediminivivens_IM2376-NZ_JACBXS010000001.1.region001	NZ_JACBXS010000001.1	NZ_JACBXS010000001.1 Rhabdonatronobacter sediminivivens strain IM2376 NODE_1_length_199489_cov_351.207254, whole genome shotgun sequence	terpene	Terpene		
GCF_013415485.1_Rhabdonatronobacter_sediminivivens_IM2376-NZ_JACBXS010000001.1.region002	NZ_JACBXS010000001.1	NZ_JACBXS010000001.1 Rhabdonatronobacter sediminivivens strain IM2376 NODE_1_length_199489_cov_351.207254, whole genome shotgun sequence	terpene	Terpene		
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region002	NZ_CP061498.1	Roseicitreum antarcticum strain ZS2-28	terpene	Terpene	Roseicitreum antarcticum ZS2-28..	
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region006	NZ_CP061498.1	Roseicitreum antarcticum strain ZS2-28	terpene	Terpene	Roseicitreum antarcticum ZS2-28..	
GCF_016653255.1_Rhodobaculum_claviforme_LMG_28126-NZ_NHSD01000237.1.region001	NZ_NHSD01000237.1	Rhodobaculum claviforme strain LMG28126	terpene	Terpene	Rhodobaculum claviforme LMG28126..	
GCF_016653255.1_Rhodobaculum_claviforme_LMG_28126-NZ_NHSD01000273.1.region001	NZ_NHSD01000273.1	Rhodobaculum claviforme strain LMG28126	terpene	Terpene	Rhodobaculum claviforme LMG28126..	
GCF_020667835.1_Roseibaca_sp._Y0-43_Y0-43-NZ_JAFMPR010000008.1.region001	NZ_JAFMPR010000008.1	NZ_JAFMPR010000008.1 Roseibaca sp. Y0-43 scaffold_8_length=145588, whole genome shotgun sequence	terpene	Terpene		
GCF_023336755.1_Roseibaca_sp.V10_V10-NZ_JALZWP010000001.1.region001	NZ_JALZWP010000001.1	Roseibaca sp.v10 strain V10	terpene	Terpene	Roseibaca sp.v10 V10..	
GCF_028745735.1_Roseinatronobacter_sp._HJB301_HJB301-NZ_JAQZSM010000006.1.region001	NZ_JAQZSM010000006.1	NZ_JAQZSM010000006.1 Roseinatronobacter sp. HJB301 Scaffold6, whole genome shotgun sequence	terpene	Terpene		
GCF_900110025.1_Gemmobacter_aquatilis_DSM_3857-NZ_FOCE01000005.1.region001	NZ_FOCE01000005.1	Gemmobacter aquatilis strain DSM 3857	terpene	Terpene	Gemmobacter aquatilis DSM 3857..	
GCF_900499075.1_Roseibaca_ekhonensis_CECT_7235-NZ_UIHC01000012.1.region001	NZ_UIHC01000012.1	Roseibaca ekhonensis strain CECT7235	terpene	Terpene	Roseibaca ekhonensis CECT7235..	
