#BGC Name	Clan Number	Family Number
GCF_003076755.1_Pararhodobacter_oceanensis_AM505-NZ_QDKM01000002.1.region001	66	66
GCF_003076755.1_Pararhodobacter_oceanensis_AM505-NZ_QDKM01000010.1.region001	68	68
GCF_003122215.1_Pararhodobacter_marinus_CIC4N-9-NZ_QEYD01000007.1.region001	71	71
GCF_003122215.1_Pararhodobacter_marinus_CIC4N-9-NZ_QEYD01000009.1.region001	72	72
GCF_003254295.1_Rhodobacter_capsulatus_DSM_1710-NZ_QKZO01000002.1.region001	73	73
GCF_003254295.1_Rhodobacter_capsulatus_DSM_1710-NZ_QKZO01000015.1.region001	77	77
GCF_003290025.1_Pseudogemmobacter_bohemicus_Cd-10-NZ_QNHG01000006.1.region001	80	80
GCF_003350345.1_Alkalilacustris_brevis_34079-NZ_QNVJ01000007.1.region001	82	82
GCF_003350345.1_Alkalilacustris_brevis_34079-NZ_QNVJ01000008.1.region001	83	83
GCF_003350345.1_Alkalilacustris_brevis_34079-NZ_QNVJ01000054.1.region001	85	85
GCF_004010155.1_Solirhodobacter_olei_Pet-1-NZ_RRYH01000002.1.region001	88	88
GCF_004010155.1_Solirhodobacter_olei_Pet-1-NZ_RRYH01000015.1.region001	90	90
GCF_004010155.1_Solirhodobacter_olei_Pet-1-NZ_RRYH01000029.1.region001	91	91
GCF_004015795.1_Falsirhodobacter_deserti_W402-NZ_ML137218.1.region001	92	92
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region001	104	104
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region003	106	106
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region004	107	107
GCF_014681765.1_Roseicitreum_antarcticum_ZS2-28-NZ_CP061498.1.region005	108	108
GCF_016653255.1_Rhodobaculum_claviforme_LMG_28126-NZ_NHSD01000218.1.region001	112	112
GCF_016653255.1_Rhodobaculum_claviforme_LMG_28126-NZ_NHSD01000292.1.region001	115	115
GCF_001517585.1_Roseibaca_calidilacus_HL-91-NZ_FBYC01000004.1.region002	119	119
GCF_023336755.1_Roseibaca_sp.V10_V10-NZ_JALZWP010000003.1.region001	119	119
GCF_900499075.1_Roseibaca_ekhonensis_CECT_7235-NZ_UIHC01000001.1.region001	119	119
NZ_JAFMPR010000001.1.region001	119	119
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000005.1.region001	122	122
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000013.1.region001	126	126
GCF_000714535.1_Thioclava_pacifica_DSM_10166-NZ_AUND01000023.1.region002	127	127
GCF_001294535.1_Cypionkella_psychrotolerans_PAMC_27389-NZ_LGIC01000052.1.region001	127	127
GCF_002900975.1_Tabrizicola_aquatica_RCRI19-NZ_PJON01000007.1.region001	127	127
GCF_002927635.1_Albidovulum_inexpectatum_DSM_12048-NZ_PRDS01000005.1.region001	127	127
GCF_003034965.1_Fuscovulum_blasticum_DSM_2131-NZ_PZKE01000012.1.region001	127	127
GCF_003034995.1_Phaeovulum_veldkampii_DSM_11550-NZ_PZKF01000013.1.region001	127	127
GCF_003254295.1_Rhodobacter_capsulatus_DSM_1710-NZ_QKZO01000006.1.region001	127	127
GCF_009908165.1_Frigidibacter_albus_SP32-NZ_JAAAUC010000009.1.region001	127	127
GCF_900100045.1_Paracoccus_denitrificans_DSM_413-NZ_FNEA01000014.1.region001	127	127
NZ_JACBXS010000003.1.region001	140	140
NZ_JACBXS010000004.1.region001	141	141
NZ_JACBXS010000036.1.region001	143	143
NZ_JAQZSM010000003.1.region001	148	148
NZ_JAQZSM010000009.1.region001	151	151
NZ_MJAP01000002.1.region001	153	153
NZ_MJAP01000010.1.region001	154	154
